,Condition,Variety,Type,Frequency
0,Nat,US,High,24
1,Nat,US,Mid,21
2,Nat,US,Low,8
3,Sty,CAN,High,7
4,Sty,CAN,Mid,6
5,Sty,CAN,Low,1
6,Nat,CAN,High,12
7,Nat,CAN,Mid,6
8,Nat,CAN,Low,3
9,Sty,UK,High,12
10,Sty,UK,Mid,7
11,Sty,UK,Low,0
12,Nat,UK,High,16
13,Nat,UK,Mid,1
14,Nat,UK,Low,2
18,Par,US,High,11
19,Par,US,Mid,9
20,Par,US,Low,8
21,Nat,US,High,5
22,Nat,US,Mid,6
23,Nat,US,Low,6
24,Phr,UK,High,4
25,Phr,UK,Mid,1
26,Phr,UK,Low,1
27,Nat,UK,High,13
28,Nat,UK,Mid,9
29,Nat,UK,Low,4
30,Nat,NZ,High,31
31,Nat,NZ,Mid,13
32,Nat,NZ,Low,4
36,Par,US,High,13
37,Par,US,Mid,4
38,Par,US,Low,3
39,Nat,US,High,6
40,Nat,US,Mid,3
41,Nat,US,Low,0
42,Sty,UK,High,23
43,Sty,UK,Mid,6
44,Sty,UK,Low,3
45,Nat,UK,High,19
46,Nat,UK,Mid,13
47,Nat,UK,Low,3
48,Nat,UK,High,24
49,Nat,UK,Mid,8
50,Nat,UK,Low,9
51,Nat,UK,High,35
52,Nat,UK,Mid,17
53,Nat,UK,Low,8
54,Nat,AUS,High,34
55,Nat,AUS,Mid,15
56,Nat,AUS,Low,3
57,Phr,US,High,19
58,Phr,US,Mid,8
59,Phr,US,Low,2
60,Nat,US,High,14
61,Nat,US,Mid,3
62,Nat,US,Low,1
63,Phr,UK,High,17
64,Phr,UK,Mid,9
65,Phr,UK,Low,8
66,Nat,UK,High,15
67,Nat,UK,Mid,15
68,Nat,UK,Low,3
69,Nat,UK,High,26
70,Nat,UK,Mid,11
71,Nat,UK,Low,5
72,Sty,UK,High,6
73,Sty,UK,Mid,21
74,Sty,UK,Low,2
75,Nat,UK,High,32
76,Nat,UK,Mid,11
77,Nat,UK,Low,11
78,Sty,US,High,17
79,Sty,US,Mid,5
80,Sty,US,Low,3
81,Nat,US,High,6
82,Nat,US,Mid,1
83,Nat,US,Low,3
84,Par,US,High,10
85,Par,US,Mid,8
86,Par,US,Low,4
87,Nat,US,High,8
88,Nat,US,Mid,6
89,Nat,US,Low,6
90,Nat,US,High,39
91,Nat,US,Mid,21
92,Nat,US,Low,4
93,Phr,AUS,High,25
94,Phr,AUS,Mid,14
95,Phr,AUS,Low,7
96,Nat,AUS,High,5
97,Nat,AUS,Mid,17
98,Nat,AUS,Low,11
99,Nat,UK,High,41
100,Nat,UK,Mid,13
101,Nat,UK,Low,5
105,Par,UK,High,20
106,Par,UK,Mid,10
107,Par,UK,Low,1
108,Nat,UK,High,14
