ID,Session,MLTD,TotalTokens,MeanClauseLength,AvgDepLength,DepTypeEntropy,NominalDensity,NPComplexity,VPComplexity,MeanNPLength,PPDensity,Condition.x,Variety,Topic
GPT4.1_01,3rd,230.9272045,623,9.734375,3.210084034,3.092253735,0.802568218,0.315068493,12.17567568,1.746575342,2.464285714,GPT,AUS,technology
GPT4.1_01,1st,214.1416128,609,8.013157895,3.339041096,3.105071245,0.65681445,0.25,12.68831169,1.673611111,3,GPT,AUS,dream
GPT4.1_01,2nd,198.9598374,587,7.3375,3.183453237,3.090865092,1.192504259,0.151898734,12.08,1.46835443,1.774193548,GPT,AUS,stereotype
GPT4.1_02,1st,248.5794393,572,6.651162791,3.104972376,3.157543766,1.748251748,0.179310345,10.76404494,1.524137931,1.793103448,GPT,AUS,dream
GPT4.1_02,2nd,210.591665,598,7.382716049,3.313485114,3.116834946,0.334448161,0.163265306,12.56666667,1.503401361,2,GPT,AUS,stereotype
GPT4.1_02,3rd,200.1796562,659,7.322222222,3.400950872,3.09254489,0.758725341,0.233333333,11.14117647,1.593333333,2.607142857,GPT,AUS,technology
GPT4.1_03,1st,225.6006877,654,7.186813187,3.325320513,3.143591734,1.070336391,0.25748503,11.63366337,1.568862275,2.3,GPT,AUS,dream
GPT4.1_03,3rd,200.3333333,676,7.952941176,3.273291925,3.154426318,0.73964497,0.264900662,11.62365591,1.708609272,2.03125,GPT,AUS,technology
GPT4.1_03,2nd,191.7233896,623,7.987179487,3.2680067,3.135032534,0.802568218,0.221518987,11.94117647,1.493670886,2.538461538,GPT,AUS,stereotype
GPT4.1_04,3rd,291.6775543,639,7.792682927,3.45320197,3.043115996,1.095461659,0.340425532,11.65909091,1.730496454,2.2,GPT,AUS,technology
GPT4.1_04,1st,238.8700038,672,7.14893617,3.303738318,3.062714051,0.744047619,0.272189349,12,1.556213018,2.366666667,GPT,AUS,dream
GPT4.1_04,2nd,196.0755371,625,7.716049383,3.265780731,3.105063851,1.12,0.2,13.82022472,1.478787879,2.391304348,GPT,AUS,stereotype
GPT4.1_05,1st,255.7952169,626,7.195402299,3.151515152,3.124838526,0.958466454,0.278911565,10.94565217,1.673469388,1.625,GPT,AUS,dream
GPT4.1_05,3rd,205.5884893,649,7.726190476,3.23510467,3.125258147,0.770416025,0.266666667,11.53333333,1.546666667,2.607142857,GPT,AUS,technology
GPT4.1_05,2nd,204.8540296,610,7.261904762,3.206185567,3.15540693,0.491803279,0.167741935,10.32098765,1.496774194,2,GPT,AUS,stereotype
