,Condition,Variety,ConditionVariety,POS,Frequency
0,Nat,US,Nat_US,Verbs,0.129547471
1,Nat,US,Nat_US,Nouns,0.163265306
2,Nat,US,Nat_US,Adjectives,0.075421473
3,Nat,US,Nat_US,Adverbs,0.059449867
4,Sty,CAN,Sty_CAN,Verbs,0.158273381
5,Sty,CAN,Sty_CAN,Nouns,0.152877698
6,Sty,CAN,Sty_CAN,Adjectives,0.039568345
7,Sty,CAN,Sty_CAN,Adverbs,0.041366906
8,Nat,CAN,Nat_CAN,Verbs,0.116393443
9,Nat,CAN,Nat_CAN,Nouns,0.172131148
10,Nat,CAN,Nat_CAN,Adjectives,0.07704918
11,Nat,CAN,Nat_CAN,Adverbs,0.055737705
12,Sty,UK,Sty_UK,Verbs,0.154818325
13,Sty,UK,Sty_UK,Nouns,0.126382306
14,Sty,UK,Sty_UK,Adjectives,0.06793049
15,Sty,UK,Sty_UK,Adverbs,0.04107425
16,Nat,UK,Nat_UK,Verbs,0.12797619
17,Nat,UK,Nat_UK,Nouns,0.141369048
18,Nat,UK,Nat_UK,Adjectives,0.063988095
19,Nat,UK,Nat_UK,Adverbs,0.049107143
24,Par,US,Par_US,Verbs,0.145061728
25,Par,US,Par_US,Nouns,0.175925926
26,Par,US,Par_US,Adjectives,0.060185185
27,Par,US,Par_US,Adverbs,0.043209877
28,Nat,US,Nat_US,Verbs,0.144851658
29,Nat,US,Nat_US,Nouns,0.162303665
30,Nat,US,Nat_US,Adjectives,0.07504363
31,Nat,US,Nat_US,Adverbs,0.036649215
32,Phr,UK,Phr_UK,Verbs,0.137362637
33,Phr,UK,Phr_UK,Nouns,0.159340659
34,Phr,UK,Phr_UK,Adjectives,0.08974359
35,Phr,UK,Phr_UK,Adverbs,0.036630037
36,Nat,UK,Nat_UK,Verbs,0.11380597
37,Nat,UK,Nat_UK,Nouns,0.180970149
38,Nat,UK,Nat_UK,Adjectives,0.09141791
39,Nat,UK,Nat_UK,Adverbs,0.039179104
40,Nat,NZ,Nat_NZ,Verbs,0.127337489
41,Nat,NZ,Nat_NZ,Nouns,0.191451469
42,Nat,NZ,Nat_NZ,Adjectives,0.076580588
43,Nat,NZ,Nat_NZ,Adverbs,0.048085485
48,Par,US,Par_US,Verbs,0.149647887
49,Par,US,Par_US,Nouns,0.153169014
50,Par,US,Par_US,Adjectives,0.063380282
51,Par,US,Par_US,Adverbs,0.072183099
52,Nat,US,Nat_US,Verbs,0.17472119
53,Nat,US,Nat_US,Nouns,0.130111524
54,Nat,US,Nat_US,Adjectives,0.029739777
55,Nat,US,Nat_US,Adverbs,0.05204461
56,Sty,UK,Sty_UK,Verbs,0.132743363
57,Sty,UK,Sty_UK,Nouns,0.153982301
58,Sty,UK,Sty_UK,Adjectives,0.081415929
59,Sty,UK,Sty_UK,Adverbs,0.060176991
60,Nat,UK,Nat_UK,Verbs,0.128390597
61,Nat,UK,Nat_UK,Nouns,0.222423146
62,Nat,UK,Nat_UK,Adjectives,0.063291139
63,Nat,UK,Nat_UK,Adverbs,0.048824593
64,Nat,UK,Nat_UK,Verbs,0.177434031
65,Nat,UK,Nat_UK,Nouns,0.167424932
66,Nat,UK,Nat_UK,Adjectives,0.065514104
67,Nat,UK,Nat_UK,Adverbs,0.041856233
68,Nat,UK,Nat_UK,Verbs,0.121070234
69,Nat,UK,Nat_UK,Nouns,0.155183946
